ITEM,EMISSIONS_FACTOR
"black seabream, raw",6.116
"black seabream, roasted/baked",4.874
"black tea, brewed, without sugar",0.909
blackberry,1.195
"blackberry, frozen, raw",1.075
"blackberry, raw",2.983
blackcurrant liqueur,0.965
"blackspot seabream, raw",4.969
"blended fat (vegetable and animal origins), spreadable, 30-40% fat, lightly salted",2.330
blinis,1.320
"blood, beef, raw",5.572
blue cheese,1.710
"blue cheese, from cow's milk",4.749
"blue grenadier, raw",4.992
"blue ling, raw",2.496
"blue shark, fillet, without skin, raw",9.753
"blueberries, raw",0.800
blueberry,1.358
blueberry & banana greek style yoghurt,1.410
blueberry juice (i),3.422
blueberry puree,1.057
"blueberry, frozen, raw",1.973
"blueberry, frozen, unsweetened",0.636
"blueberry, raw",0.643
"boiled egg, peeled",1.349
boiled meat with vegetables,11.017
"bolognese-style pasta (spaghetti, tagliatelleâ€šÃ„Â¶)",1.653
"bonito, raw",2.492
"bottled water, flavoured, w sugar",0.279
"bottled water, flavoured, without sugar and artificial sweeteners",1.536
"bouillon, beef, concentrated, cube",3.653
"bouillon, chicken, prepared",0.201
"brain, calf, cooked",7.794
"brain, lamb, cooked",33.763
"brain, lamb, raw",23.343
"brain, pork, braised",3.138
"brain, pork, raw",1.953
braised ham on the bone,5.712
bran grain bread,0.820
"brandy, cognac",3.579
brazil nut,5.011
brazil nuts,2.436
bread,3.615
bread frozen (f),1.088
bread multicereal,0.849
bread plain,1.840
bread whole,1.178
"bread, french bread (baguette or ball), with yeast",0.861
"bread, french bread, (baguette or ball), multigrain, from bakery",1.492
"bread, french bread, baguette",1.080
"bread, french bread, baguette, unsalted",0.227
"bread, french bread, ball, 400g",2.806
"bread, french bread, without salt",1.174
"bread, gluten free",0.626
"bread, home-made, with flour for home-made bread preparation",0.371
"bread, white, for sausages",3.002
"bread, white, roll, coarse grain",0.186
"bread, wholemeal or integral bread (made with flour type 150)",0.647
bread-crumbs,0.096
breakfast biscuit (cookie),2.011
"breakfast biscuit (cookie), reduced sugar",0.894
"breakfast biscuit (cookie), with chocolate",4.097
"breakfast cereal, guldkorn",3.394
"breakfast cereal, havrefras",0.997
"breakfast cereal, mâˆšÂºsli, average values",2.777
"breakfast cereals, chocolate wheat grain flakes (not fortified with vitamins and chemical elements)",2.795
"breakfast cereals, chocolate wheat grain flakes, fortified with vitamins and chemical elements",1.798
"breakfast cereals, corn flakes, plain (not fortified with vitamins and chemical elements)",2.115
"breakfast cereals, corn flakes, plain, fortified with vitamins and chemical elements",0.330
"breakfast cereals, corn flakes, sugar iced (not fortified with vitamins and chemical elements)",1.122
"breakfast cereals, corn flakes, sugar iced, fortified with vitamins and chemical elements",4.268
"breakfast cereals, diet, plain or with honey, fortified with vitamins and chemical elements",3.201
"breakfast cereals, diet, plain, not fortified",2.641
"breakfast cereals, diet, with chocolate, fortified with vitamins and chemical elements",2.074
"breakfast cereals, diet, with chocolate, not fortified",3.729
"breakfast cereals, diet, with fruits, not fortified",2.434
"breakfast cereals, filled with chocolate or chocolate-hazelnuts",3.663
"breakfast cereals, filled with chocolate or chocolate-hazelnuts, fortified with vitamins and chemical elements",3.135
"breakfast cereals, mix of puffed or extruded cereals, fortified with vitamins and chemical elements",0.848
"breakfast cereals, puffed/popped cereals, wholemeal, fortified with vitamins and chemical elements",3.842
"breakfast cereals, puffed/popped corn, with honey, fortified with vitamins and chemical elements",1.650
"breakfast cereals, rich in fibre, with chocolate, fortified with vitamins and chemical elements",0.657
"breakfast cereals, wheat flakes with walnuts, hazelnuts or almonds, fortified with vitamins and chemical elements",3.050
"breakfast cereals, with chocolate, not filled, fortified with vitamins and chemical elements",0.885
"bream, raw",8.711
bresaola,4.433
"bresse blue cheese, from cow's milk",6.008
"bresse blue cheese, from cow's milk, reduced fat, around 15% fat",6.479
breton pudding cake with prunes,2.401
brewed coffee in paper cups,1.850
brewed coffee latte in paper cups,4.489
"brie cheese, from cow's milk",6.194
"brie de meaux cheese, from cow's milk",1.031
"brie de melun cheese, from cow's milk",1.228
"brioche sandwich bread, prepacked",1.230
"brioche, filled with chocolate",1.557
"brioche, prepacked",2.522
"brioche, pure butter",2.835
"broad bean, cooked",1.610
"broad bean, dried",2.086
"broad bean, fresh, frozen",0.943
"broad bean, frozen, water boiled",2.396
"broad bean, peeled, frozen, raw",2.971
"broad bean, to shell, fresh",2.256
"broad bean, without peal, frozen, water boiled",0.374
broad beans (dry),0.617
broccoli,2.240
"broccoli, cooked",1.012
"broccoli, fresh",1.111
"broccoli, fresh origin: esp",0.731
"broccoli, frozen",0.459
"broccoli, frozen, cooked",1.155
"broccoli, frozen, raw",1.982
"broccoli, puree",1.357
"broccoli, raw",0.845
"broth, stock or bouillon, vegetables, dehydrated and reconstituted",1.766
"brown bread, french bread (baguette or ball), with flour type 80 or 110",0.764
"brown bullhead, raw",6.611
"brown mushrooms, baked",1.015
"brown rice flour, consumer package",0.548
brownie (chocolate cake),6.558
"brussel sprouts, roasted",0.762
"brussels sprout, canned, drained",1.564
"brussels sprout, cooked",0.724
"brussels sprout, frozen, cooked",1.175
"brussels sprout, frozen, raw",1.467
"brussels sprout, raw",0.451
"brussels sprouts, fresh",0.592
"brussels sprouts, frozen",1.714
"brussels sprouts, raw",0.978
buckwheat,1.824
"buckwheat crepe, plain, prepacked",2.183
buckwheat flour,2.262
"buckwheat, whole, raw",0.788
buffalo milk,5.365
"bulgur, parboiled, raw",1.889
burger buns,1.205
"burger sauce, prepacked",0.879
"burger, beef based, 15% fat, raw",4.589
burgundy-style beef stew,25.595
burritos,0.948
butter,0.649
butter (organic),0.489
"butter bean or yellow bean, canned, drained",0.206
"butter bean or yellow bean, frozen, raw",1.452
"butter bean or yellow bean, raw",0.557
butter biscuit (cookie),2.418
"butter biscuit (cookie), with chocolate",3.071
"butter cookie, wheat, danish, industrially produced",1.311
butter oil or concentrated butter,12.430
"butter, 60-62% fat, light, lightly salted",7.208
"butter, 60-62% fat, light, unsalted",15.078
"butter, 80% fat",10.362
"butter, 80% fat, lightly salted",2.839
"butter, 80% fat, salted",8.675
"butter, 82% fat, unsalted",1.853
"butter, 82% fat, unsalted, easy-to-spread",10.948
"butter, light, 39-41% fat, unsalted",4.841
"butter, salt added",2.026
buttered and caramelized milk bread cake,2.033
by motatos organic chickpeas 390g,1.613
by motatos organic kidney beans 390g,0.799
cabbage,0.854
"cabbage, chinese, pak-choi, raw",1.696
"cabbage, fresh",0.428
"cabbage, red",1.612
"cabbage, red, canned, no sugar added",1.193
"cabbage, red, raw",1.754
"cabbage, savoy, raw",1.312
"cabbage, spring, raw",1.749
"cabbage, white, raw",0.602
cabbages,0.940
"caen-style tripe, prepacked",15.798
caesar dressing,5.041
"caesar's salad (salad, chicken, croâˆšÂªtons, sauce)",1.220
cakes and croissant,1.624
camembert,6.061
"camembert cheese, from cow's milk",5.378
"camembert cheese, from cow's milk, from raw milk",0.660
"candies, all types",2.085
"candies, marshmallows",0.953
cane molasses,1.476
cane sugar,1.231
canelâˆšÂ© cake,3.136
canned pineapple w. juice,3.337
canned sweetcorn kernels,2.739
canned sweetcorn kernels 0.5l,1.131
canned tomatoes 0.5l,0.688
canned tuna,3.809
"cantaloupe (melon), whole fruit",0.417
cantaloupe and other melons,1.856
cantonese rice,0.778
"capelin, raw",9.095
capers,0.915
"capon, meat and skin, raw",3.555
"capon, meat and skin, roasted/baked",1.677
"capsicum, green",0.316
"capsicum, red",0.625
"caramelized custard cream (crâˆšÂ®me brâˆšÂªlâˆšÂ©e), refrigerated",2.897
"caraway, seed",1.726
"carbonara sauce (cream sauce with lardoons), prepacked",4.085
"carbonara-style pasta (spaghetti, tagliatelleâ€šÃ„Â¶)",1.881
"carbonated soft drink, pet bottle 50 cl",1.396
"cardamom, powder",0.375
"caribbean-style fish fritters, fish acras",1.012
carob,1.096
carp,1.268
"carragheen mosses (chondrus crispus), dried or dehydrated",5.624
carrob,0.440
carrot,0.229
carrot shredded,1.009
"carrot, canned, drained",0.782
"carrot, cooked",0.564
"carrot, frozen",0.873
"carrot, frozen, cooked",1.114
"carrot, frozen, raw",1.146
"carrot, raw",0.165
carrots,1.577
carrots and turnips,1.718
carrots canned,1.176
"carrots, puree",1.478
cashew,2.012
cashew nut,2.095
"cashew nut, grilled, salted",0.936
"cashew nuts, dry roasted",5.527
cashewapple,2.437
cassava,0.813
cassava leaves,2.231
"cassava or manioc, roots, cooked",1.531
"cassava or manioc, roots, raw",0.857
"cassava, raw",0.808
castor bean,26.484
cauliflower,1.061
cauliflower and broccoli,0.568
cauliflower au gratin (oven grilled),1.210
"cauliflower rice, cauliflower",0.875
"cauliflower, all varieties, raw",2.461
"cauliflower, cooked",0.442
"cauliflower, frozen",2.106
"cauliflower, frozen, cooked",3.032
"cauliflower, frozen, raw",0.672
"cauliflower, raw",1.991
"causses blue cheese, from cow's milk",2.770
"caviar, danish (roe, lump-sucker)",10.224
"caviar, made from capelin roe",3.024
cayenne pepper,3.233
"celeriac, celery root, raw",0.526
"celeriac, cooked",0.431
"celeriac, puree",0.308
"celeriac, raw",1.011
celery,2.634
celery salt,2.750
"celery stalk, canned, drained",0.709
"celery stalk, cooked",1.717
"celery stalk, raw",2.716
"celery, raw",0.339
cereal bar w fruit,3.322
cereal bar with almonds or hazelnuts,2.626
"cereal bar with chocolate, fortified with vitamins and minerals",2.329
"cereal bar with fruit, fortified with vitamins and minerals",1.460
cereals,1.313
cha soba,3.652
"chabichou cheese, from goat's milk",7.113
champagne,1.785
champagne kir (cocktail of champagne with red fruit liqueur),2.878
cheddar,3.822
"cheddar cheese, from cow's milk",2.942
"cheddar, shredded",7.789
cheese,4.488
"cheese (organic), average",7.057
"cheese (organic), cream cheese",4.448
"cheese and ham, breaded",2.880
cheese in puff pastry,0.924
"cheese sauce for risotto or pasta, prepacked",3.279
cheese semi-hard,1.752
cheese soufflâˆšÂ©,2.441
"cheese substitute, vegan, based on coconut oil",2.583
cheese tart,4.114
"cheese, average",3.197
"cheese, brie, 45 % fidm.",3.000
"cheese, buche, from goat's milk",3.083
"cheese, buche, from goat's milk, light",3.236
"cheese, cottage, 20 % fidm.",4.013
"cheese, cream cheese",3.841
"cheese, cream, 60 % fidm.",6.570
"cheese, danish blue, 50 % fidm.",4.332
"cheese, dry, from goat's milk",3.759
"cheese, feta",4.463
"cheese, from cow's milk",0.564
"cheese, from goat's milk",1.032
"cheese, from goat's milk, fresh",4.989
"cheese, from goat's milk, fresh, from pasteurised milk",3.472
"cheese, from goat's milk, fresh, from raw milk",1.947
"cheese, from goat's milk, from pasteurised milk",4.110
"cheese, from goat's milk, from raw milk",2.402
"cheese, hard cheese, like emmental",4.600
"cheese, hard cheese, like parmesan",5.682
"cheese, hard, 28% fat",9.221
"cheese, hard, parmesan, 32 % fidm.",7.610
"cheese, semi-dry, from goat's milk",5.606
"cheese, semihard, feta, 40 % fidm",3.762
"cheese, semihard, mozzarella, 30 % fidm.",4.142
"cheesecake, refrigerated",2.853
cherries,1.852
"cherries, sour",0.945
cherry,1.320
cherry tomato,0.723
"cherry, pitted, raw",1.425
"cherry, raw",0.879
"chervil, fresh",0.686
chestnut,3.735
chestnut cream,1.098
"chestnut cream, vanilla flavoured, canned",3.095
chestnut flour,2.157
"chestnut mousse, refrigerated",2.235
"chestnut, boiled/cooked in water",0.812
"chestnut, canned",0.984
"chestnut, grilled",1.269
"chestnut, raw",2.679
"chevrot cheese, from goat's milk",7.009
"chewing gum, no sugar added, all types",7.664
chia seeds,1.204
chick pea flour,0.459
"chick pea, canned, drained",0.622
"chick pea, cooked",2.332
"chick pea, dried",2.554
"chick peas, cooked",1.757
"chick peas, in can",1.087
"chicken breast, fresh boneless skinless",3.589
"chicken burger , fast foods restaurant",3.759
"chicken cooked ham, in slices",0.309
"chicken drumstick, fresh bone-in shin-on",2.147
"chicken drumstick, fresh bone-in skin-on",2.138
chicken fat,0.750
"chicken fillet, fresh",3.547
"chicken high leg, meat, raw",3.345
chicken italia burgers,5.701
chicken italia mince,3.738
chicken kebab,1.935
"chicken leg, meat, boiled/cooked in water",2.688
"chicken leg, meat, roasted/baked",7.321
chicken liver pate,3.511
chicken meat (average),2.381
chicken meat with bone,3.388
"chicken nuggets, deepfried, ready meals",4.058
"chicken nuggets, frozen",5.103
chicken tagine,1.885
"chicken thigh, fresh boneless skinless",1.543
chicken with curry and coconut milk sauce,5.238
"chicken, average",3.641
"chicken, baked",0.464
"chicken, basque style",3.421
"chicken, breast, boiled, sliced",1.798
"chicken, breast, flesh and skin, raw",3.823
"chicken, breast, meat and skin, raw",4.983
"chicken, breast, meat and skin, roasted/baked",1.031
"chicken, breast, without skin, cooked",3.407
"chicken, breast, without skin, raw",0.969
"chicken, drumstick, flesh and skin, raw",0.759
"chicken, drumstick, raw",4.628
"chicken, free-range, meat and skin, raw",1.852
"chicken, frozen",3.969
"chicken, grilled, fast food",3.682
"chicken, hen, flesh and skin, raw",0.248
"chicken, leg, flesh and skin, raw",1.052
"chicken, leg, meat and skin, boiled/cooked in water",3.969
"chicken, leg, meat and skin, raw",3.854
"chicken, leg, meat and skin, roasted/baked",2.305
"chicken, leg, meat, raw",6.010
"chicken, marinated wing, roasted/baked",2.119
"chicken, meat and skin, raw",0.755
"chicken, meat and skin, roasted/baked",3.790
"chicken, meat, raw",1.935
"chicken, nugget, breaded croquette",4.704
"chicken, nuggets",2.826
"chicken, roasted",2.577
"chicken, sausage",3.848
"chicken, sausage slices",3.610
"chicken, sous vide",1.781
"chicken, stewing, leg, raw",5.444
"chicken, whole",2.342
"chicken, wing, meat and skin, raw",3.583
"chicken, wing, meat and skin, roasted/baked",6.823
chickpea,0.950
chickpeas,2.349
"chickpeas, canned",2.944
"chickpeas, dry",2.079
chicory,1.783
chicory w ham,0.636
"chicory, powder, instant",2.599
"chicory, raw",0.334
chili con carne,21.539
"chili con carne, ready meals",19.237
"chili pepper, raw",3.775
chili sauce,1.441
chilli,1.872
chilli cheese tops,4.464
"chillies and peppers, green",2.137
"chinese cabbage (nappa cabbage or bok choy), cooked",0.328
"chinese cabbage (nappa cabbage or bok choy), raw",0.981
"chinese or japanese artichokes, frozen, raw",1.613
"chinese parsley, coriander",1.157
chinese specialty or dumplings,3.243
"chipolata sausage, cooked",5.950
"chipolata slim sausage, raw",3.231
chitterling sausage,8.236
chitterling sausage from guâˆšÂ©mâˆšÂ©nâˆšÂ©,2.490
"chitterling sausage from troyes, raw",7.794
chitterling sausage from vire,14.806
"chitterling sausage, pan-reheated",8.327
"chitterling sausage, raw",3.502
"chitterling sausage, sautâˆšÂ©ed/pan-fried",4.347
"chive or spring onion, fresh",1.899
"chives, raw",0.683
chocolate and nut confectionery filled with praline,9.396
chocolate bar with biscuit,6.280
chocolate bar with dried fruits,4.288
chocolate cake,6.969
"chocolate cake w melting centre, refrigerated",5.421
chocolate cereal bar,7.002
"chocolate confectionery or bar, with dairy filling",1.437
"chocolate confectionery, filled with nuts and/or praline",6.314
"chocolate confectionery, filled with wafer",10.290
"chocolate confectionery, sugar coated",7.462
"chocolate croissant, prepacked",5.721
"chocolate croissant, puff pastry, from bakery",6.048
"chocolate mousse (milk-based), refrigerated",7.366
chocolate or cream filled cookies,0.546
chocolate sauce,7.423
"chocolate snack bar, dairy filling",4.128
"chocolate snack bar, dairy filling with sponge cake",5.423
"chocolate soft cake, prepacked",10.322
chocolate spread with hazelnuts,4.652
chocolate tart from bakery,4.117
"chocolate, bitter",2.499
"chocolate, milk",1.523
"chorizo, sliced",6.791
chou pastry filled with custard,2.151
chou pastry filled with whipped cream,4.249
chou pastry with praline flavoured creme,1.706
"chou pastry, sugar coated",2.505
"christmas brioche with candied fruits, prepacked",5.234
christmas log cake,1.712
châˆšÂ®vre (goat cheese),4.007
cider,0.681
cider 4.5%,1.161
"cider, dry",1.022
"cider, half-dry",2.466
"cider, sweet",0.354
cinnamon,2.839
"cinnamon, powder",0.254
citrus fruit,1.322
clear fruit brandy or eau-de-vie,0.738
clementine,1.671
"clementine, pulp, raw",1.309
clove,22.260
cloves,1.499
coated chocolate bar without biscuit,5.200
coated peanuts,1.664
cockerel in red wine sauce,4.456
cocktail sausage,6.842
cocktail sausages,2.721
"cocktail, alcohol-free (juices and syrup-based cocktail)",1.079
"cocktail, punch type, 16% alcohol",0.429
cocoa,0.687
cocoa butter,22.230
cocoa cakes and croissant,2.507
"cocoa or chocolate powder, for beverages, with sugar",25.758
"cocoa or chocolate powder, for beverages, with sugar, fortified with vitamins",19.894
"cocoa or chocolate powder, for beverages, with sugar, fortified with vitamins and chemical elements",4.849
"cocoa powder, without sugar, powder, instant",16.031
"cocoa, ground",6.881
"cocoa, instant, without milk, powder",1.309
"cocoa, powder",3.676
coconut,2.486
"coconut bar, with chocolate coating",5.276
coconut milk,1.652
coconut milk or coconut cream,2.614
